Year of arrival at port of disembarkation,Total embarked,Total disembarked
1801,530,473
1801,475,436
1803,390,353
1803,327,321
1805,402,369
1801,183,160
1798,271,251
1786,353,324
1785,353,324
1784,353,324
1783,353,324
1782,353,324
1781,113,105
1781,353,324
1782,92,89
1714,118,105
1712,118,105
1826,449,421
1819,390,353
1814,390,353
1710,244,209
1827,452,420
1820,550,290
1709,260,230
1707,118,105
1812,390,353
1706,260,230
1812,390,353
1817,239,217
1818,530,473
1704,260,230
1817,390,353
1816,390,353
1823,390,353
1812,390,353
1822,390,353
1819,310,
1701,260,230
1810,390,353
1813,390,353
1699,406,356
1699,406,356
1817,530,473
1819,390,353
1810,390,353
1818,273,250
1816,273,250
1814,530,473
1825,390,353
1824,390,353
1821,530,473
1736,406,356
1736,388,357
1736,386,351
1736,386,351
1736,388,357
1736,231,209
1736,118,105
1737,465,403
1737,301,272
1737,465,403
1737,386,351
1737,118,105
1737,301,272
1737,465,403
1740,452,396
1737,574,503
1739,345,312
1739,409,370
1738,211,188
1738,406,356
1738,301,272
1739,379,329
1738,465,403
1738,465,403
1739,284,260
1739,465,403
1743,465,403
1743,393,341
1739,301,272
1739,386,351
1739,388,357
1739,388,357
1741,386,351
1742,301,272
1742,301,272
1743,312,282
1742,301,272
1742,465,403
1743,389,348
1742,301,272
1743,465,403
1743,465,403
1743,465,403
1743,465,403
1743,301,272
1743,301,272
1743,465,403
1744,16,15
1743,407,368
1744,465,403
1744,301,272
1744,386,351
1744,388,357
1744,388,357
1744,301,272
1744,301,272
1744,465,403
1744,118,105
1744,301,272
1744,465,403
1744,301,272
1744,386,351
1745,301,272
1745,386,351
1745,465,403
1745,465,403
1745,465,403
1745,386,351
1745,388,357
1745,388,357
1745,260,230
1746,388,357
1747,491,426
1746,121,118
1746,388,357
1746,465,403
1746,388,357
1746,471,408
1746,301,272
1746,118,105
1746,386,351
1746,301,272
1746,465,403
1746,386,351
1746,386,351
1748,260,230
1747,406,356
1748,301,272
1747,386,351
1747,386,351
1749,301,272
1750,333,289
1747,406,356
1749,465,403
1749,118,105
1750,301,269
1748,465,403
1750,507,440
1750,118,105
1750,301,272
1750,386,351
1750,388,357
1751,11,10
1750,330,286
1751,297,267
1750,301,272
1750,465,403
1750,406,356
1750,465,403
1750,260,230
1750,301,272
1750,212,194
1750,465,403
1750,465,403
1750,388,357
1750,388,357
1752,395,355
1751,316,284
1751,316,284
1751,297,277
1751,316,284
1751,297,277
1751,386,351
1751,253,224
1751,297,277
1751,316,284
1751,316,284
1751,386,351
1751,386,351
1752,297,277
1752,253,224
1752,297,277
1752,484,435
1752,316,284
1752,297,277
1752,316,284
1753,277,248
1752,253,224
1752,253,224
1752,297,277
1752,297,277
1752,316,284
1753,264,234
1752,316,284
1752,316,284
1752,316,284
1754,422,379
1753,329,308
1753,297,277
1753,297,277
1753,388,357
1753,297,277
1753,297,277
1753,212,194
1753,187,175
1753,316,284
1753,118,105
1753,316,284
1753,297,277
1753,316,284
1754,264,234
1753,316,284
1753,316,284
1753,316,284
1753,316,284
1754,297,277
1754,297,277
1754,297,277
1756,233,218
1754,386,351
1754,316,284
1754,316,284
1754,297,277
1754,297,277
1754,388,357
1754,316,284
1754,386,351
1756,326,305
1755,316,284
1755,316,284
1755,316,284
1755,316,284
1755,297,277
1755,341,307
1755,316,284
1755,297,277
1755,316,284
1755,297,277
1756,316,284
1756,388,357
1756,297,277
1757,228,205
1756,316,284
1756,297,277
1756,297,277
1756,297,277
1757,202,179
1756,388,357
1756,316,284
1757,317,296
1756,297,277
1757,253,224
1757,297,277
1757,253,224
1757,316,284
1757,297,277
1757,297,277
1757,316,284
1758,297,277
1758,316,284
1757,297,277
1757,297,277
1758,349,328
1757,297,277
1759,297,277
1759,325,320
1759,338,331
1759,297,277
1759,349,328
1759,297,277
1759,349,328
1759,297,277
1759,297,277
1759,297,277
1759,297,277
1760,236,222
1759,242,233
1759,320,318
1759,253,224
1759,316,284
1759,298,194
1759,357,334
1759,253,224
1760,297,277
1760,253,224
1760,297,277
1760,253,224
1760,252,236
1760,297,277
1760,253,224
1760,316,284
1760,297,277
1760,349,328
1760,297,277
1760,118,105
1760,278,246
1760,316,284
1760,448,375
1761,352,329
1761,452,378
1761,269,238
1761,253,224
1761,389,364
1761,297,277
1761,322,301
1762,297,277
1762,297,277
1764,296,237
1764,297,277
1765,448,375
1766,296,237
1767,386,351
1767,386,351
1766,297,277
1766,296,237
1767,253,224
1767,297,277
1767,297,277
1767,349,328
1767,316,284
1768,293,262
1768,386,351
1768,386,351
1768,253,224
1768,297,277
1768,350,327
1768,297,277
1768,297,277
1768,253,224
1768,404,378
1768,297,277
1769,297,277
1770,297,277
1770,352,329
1770,297,277
1770,253,224
1770,253,224
1770,297,277
1770,297,277
1770,404,378
1770,253,224
1770,297,277
1775,461,431
1774,297,277
1774,297,277
1774,297,277
1774,297,277
1774,439,410
1774,297,277
1774,407,381
1782,254,224
1781,353,324
1781,353,324
1782,486,445
1782,353,324
1781,324,297
1782,351,292
1781,353,324
1782,100,97
1781,256,226
1781,305,274
1781,622,587
1782,363,336
1782,353,324
1782,353,324
1782,258,230
1782,353,324
1782,258,230
1782,354,324
1782,353,324
1782,271,251
1782,258,230
1782,258,230
1782,353,324
1782,501,459
1783,271,251
1783,403,369
1783,353,324
1783,258,230
1783,353,324
1783,353,324
1783,353,324
1783,258,230
1783,403,369
1783,101,97
1783,482,456
1783,450,412
1783,130,124
1783,354,324
1783,353,324
1783,353,324
1783,353,324
1784,269,250
1784,353,324
1784,363,336
1784,354,324
1784,353,324
1784,353,324
1784,353,324
1785,656,606
1784,353,324
1784,354,324
1784,258,230
1784,353,324
1784,354,324
1784,258,230
1784,258,230
1784,353,324
1785,353,324
1785,354,324
1785,258,230
1785,353,324
1785,364,336
1785,269,250
1785,167,153
1785,353,324
1786,710,610
1786,152,139
1786,353,324
1786,27,25
1787,353,324
1787,354,324
1787,363,336
1787,353,324
1787,363,336
1787,353,324
1787,258,230
1787,353,324
1788,376,344
1787,353,324
1787,388,357
1788,409,375
1788,258,230
1788,258,230
1789,418,395
1788,271,251
1789,418,398
1788,353,324
1788,353,324
1788,363,336
1788,353,324
1788,508,465
1788,373,341
1789,364,336
1790,357,331
1789,353,324
1789,353,324
1789,354,324
1789,456,433
1789,353,324
1789,271,257
1789,269,250
1789,684,627
1789,271,251
1789,269,250
1790,353,324
1790,354,324
1790,353,324
1791,514,439
1790,353,324
1790,354,324
1790,353,324
1790,353,324
1791,364,336
1791,353,324
1791,353,324
1791,373,343
1791,353,324
1792,533,490
1791,353,324
1791,390,364
1791,271,251
1791,271,251
1792,430,419
1793,520,469
1792,258,230
1792,353,324
1792,399,390
1792,271,251
1792,354,324
1792,353,324
1793,353,324
1793,447,408
1793,363,336
1794,377,345
1793,473,425
1793,353,324
1793,353,324
1793,432,418
1794,363,336
1794,470,437
1795,271,251
1795,353,324
1796,503,473
1795,479,437
1795,723,600
1795,353,324
1795,267,258
1795,258,230
1795,354,324
1795,353,324
1796,353,324
1796,364,336
1796,363,336
1795,353,324
1796,363,336
1798,742,689
1797,271,251
1797,258,230
1797,278,278
1797,353,324
1797,363,336
1799,624,587
1798,363,336
1800,230,217
1800,679,626
1800,271,251
1800,271,251
1799,364,336
1801,390,353
1801,622,555
1802,390,353
1802,530,473
1803,156,135
1804,390,353
1805,529,472
1802,239,217
1804,390,353
1805,390,353
1806,572,472
1806,389,353
1807,390,353
1807,239,217
1806,238,216
1807,390,353
1807,390,353
1807,401,367
1807,530,473
1807,390,353
1807,390,353
1808,529,472
1806,491,446
1808,390,353
1807,390,353
1808,475,436
1808,390,353
1809,390,353
1809,390,353
1809,239,217
1810,239,217
1809,390,353
1809,390,353
1810,390,353
1810,390,353
1810,475,436
1810,475,436
1810,475,436
1810,390,353
1810,390,353
1811,390,353
1811,390,353
1811,390,353
1812,530,473
1812,481,430
1811,475,436
1812,239,217
1812,475,436
1812,390,353
1812,390,353
1812,390,353
1812,390,353
1812,390,353
1811,390,353
1813,390,353
1813,530,
1813,390,353
1812,390,353
1814,390,353
1813,239,217
1813,390,353
1812,390,353
1813,390,353
1812,390,353
1813,390,353
1812,390,353
1814,390,353
1813,390,353
1814,530,473
1815,530,473
1814,390,353
1814,390,353
1814,390,353
1814,390,353
1815,390,353
1816,239,217
1815,390,353
1815,390,353
1815,390,353
1814,390,353
1815,390,353
1815,390,353
1815,390,353
1816,390,353
1816,390,353
1816,390,353
1815,390,353
1816,390,353
1816,530,473
1816,390,353
1827,490,444
1839,490,444
1770,320,286
1795,353,324
1840,118,105
1805,530,473
1834,372,331
1839,572,517
1840,307,277
1840,449,421
1839,490,444
1818,530,473
1818,239,217
1818,400,360
1818,313,304
1818,183,160
1818,390,353
1818,298,224
1818,390,353
1819,390,353
1818,390,353
1823,227,208
1827,304,295
1827,537,492
1753,329,308
1753,297,277
1754,352,288
1755,253,224
1755,253,224
1756,253,224
1759,262,245
1756,251,235
1758,297,277
1760,316,284
1763,297,278
1750,406,356
1752,329,308
1755,329,308
1818,390,353
1818,372,370
1818,432,391
1818,359,350
1818,239,217
1818,390,353
1818,54,47
1818,575,517
1818,239,217
1818,320,290
1818,255,231
1818,239,217
1818,112,102
1818,229,208
1827,397,377
1827,485,439
1827,163,147
1827,490,444
1828,244,225
1829,345,301
1830,118,105
1830,430,415
1830,283,257
1830,490,444
1830,307,277
1831,307,277
1831,490,444
1831,307,277
1831,307,277
1832,490,444
1832,307,277
1832,118,105
1832,490,444
1832,490,444
1831,490,444
1831,490,444
1831,9,8
1831,307,277
1831,490,444
1831,9,8
1830,26,24
1829,517,506
1829,345,301
1791,426,419
1791,353,324
1792,353,324
1792,353,324
1792,353,324
1849,623,564
1792,353,324
1816,239,217
1792,353,324
1793,500,458
1793,320,312
1793,353,324
1793,471,431
1793,353,324
1793,258,230
1793,353,324
1793,353,324
1793,353,324
1793,258,230
1793,353,324
1794,421,394
1793,363,336
1793,353,324
1793,353,324
1794,353,324
1794,363,336
1816,239,217
1816,239,217
1792,353,324
1816,390,353
1816,390,353
1816,390,353
1794,353,324
1816,390,353
1816,239,217
1794,353,324
1820,321,291
1821,299,271
1823,310,281
1824,390,353
1825,390,353
1820,390,353
1818,273,250
1817,390,353
1820,385,349
1821,404,366
1818,390,353
1817,390,353
1817,239,217
1818,239,217
1823,64,58
1797,622,580
1816,390,353
1817,530,473
1817,555,503
1817,530,472
1817,183,160
1817,530,473
1817,390,353
1817,390,353
1817,390,353
1817,234,220
1818,390,353
1818,390,353
1818,390,353
1818,390,353
1818,390,353
1827,449,421
1828,578,533
1828,118,105
1828,603,557
1829,490,444
1828,345,301
1829,449,421
1830,118,105
1841,392,368
1819,390,353
1819,183,160
1819,180,179
1819,239,224
1819,495,428
1819,239,217
1819,557,365
1819,239,217
1819,390,353
1819,348,342
1818,422,418
1818,299,276
1818,390,353
1818,299,276
1818,183,160
1818,169,153
1818,239,217
1818,357,334
1818,343,311
1819,390,353
1819,390,353
1819,390,353
1819,162,141
1820,211,191
1819,183,160
1819,561,334
1819,445,433
1819,390,353
1819,302,301
1819,390,353
1819,390,353
1819,390,353
1819,390,353
1820,390,353
1819,273,250
1820,430,230
1819,331,295
1820,530,473
1820,390,353
1820,390,353
1820,621,554
1820,475,436
1820,273,250
1820,425,385
1820,390,353
1820,502,455
1820,501,454
1820,421,381
1821,214,194
1820,239,217
1820,530,473
1820,429,389
1821,566,513
1821,417,378
1821,242,222
1821,416,377
1821,642,573
1821,475,436
1821,405,367
1821,449,407
1821,490,444
1827,475,436
1713,260,230
1713,118,105
1827,315,289
1827,607,569
1827,578,533
1825,406,368
1825,265,240
1825,475,436
1826,474,429
1825,492,446
1825,265,243
1825,306,281
1826,304,272
1825,475,436
1825,475,436
1824,309,283
1823,239,217
1841,118,105
1823,214,196
1818,530,473
1819,530,473
1824,475,436
1824,275,252
1824,306,280
1822,393,356
1822,390,353
1822,390,353
1821,242,219
1822,280,254
1822,472,428
1822,390,353
1822,390,353
1799,,
1681,97,85
1696,200,179
1773,301,281
1798,169,150
1806,690,631
1796,363,336
1712,260,230
1841,431,405
1842,392,368
1856,400,364
1611,118,105
1664,406,356
1665,406,356
1671,292,260
1671,244,209
1671,357,319
1671,244,209
1676,292,260
1677,244,209
1677,244,209
1679,357,319
1682,357,319
1685,260,230
1685,260,230
1685,260,230
1686,357,319
1687,260,230
1756,316,284
1757,37,37
1760,158,140
1777,353,324
1800,359,328
1801,121,118
1830,490,444
1830,490,444
1831,490,444
1696,260,230
1697,118,105
1697,260,230
1697,260,230
1698,260,230
1698,260,230
1697,260,230
1697,118,105
1697,118,105
1698,118,105
1697,292,260
1697,118,105
1697,260,230
1698,118,105
1698,118,105
1710,260,230
1725,244,209
1727,118,105
1727,465,403
1729,386,351
1727,331,283
1728,465,403
1728,465,403
1728,465,403
1747,331,283
1760,297,277
1760,297,277
1760,316,284
1760,316,284
1760,253,224
1601,388,310
1601,413,330
1601,394,315
1601,397,317
1601,385,308
1596,413,331
1597,392,314
1600,356,285
1599,371,297
1598,359,287
1596,34,27
1595,359,287
1598,430,344
1597,30,24
1597,375,300
1598,371,297
1596,346,277
1599,404,323
1604,365,292
1605,329,263
1605,312,250
1605,384,307
1605,338,270
1605,296,236
1605,386,309
1605,342,274
1606,346,277
1607,388,311
1608,296,236
1608,287,230
1608,371,297
1608,329,263
1608,430,344
1608,317,253
1608,312,250
1608,413,331
1608,300,124
1609,413,331
1609,329,263
1609,405,324
1609,397,317
1610,376,300
1610,375,300
1610,405,324
1610,398,319
1610,424,339
1610,384,307
1610,369,295
1610,378,302
1610,380,304
1611,392,313
1611,303,169
1611,364,292
1611,375,300
1611,374,299
1611,368,295
1611,363,290
1611,386,309
1611,358,287
1611,348,279
1612,329,263
1612,348,279
1612,340,272
1612,368,294
1612,355,284
1612,358,287
1612,354,283
1613,386,308
1613,381,305
1613,374,299
1613,366,293
1613,341,273
1613,343,274
1614,361,289
1616,377,301
1616,397,317
1616,351,281
1617,412,330
1617,352,282
1617,354,284
1617,372,297
1617,355,284
1617,365,292
1618,339,271
1618,380,304
1618,371,297
1618,380,304
1618,397,317
1618,371,297
1619,352,281
1619,357,285
1619,413,331
1619,368,294
1619,349,279
1619,413,331
1619,455,364
1619,395,316
1619,350,147
1619,375,300
1619,413,331
1620,424,339
1620,368,294
1620,427,341
1620,406,325
1620,345,276
1620,443,354
1620,580,464
1621,388,310
1621,525,420
1621,329,263
1621,450,360
1621,346,277
1621,424,339
1621,159,127
1621,370,296
1621,478,382
1621,397,317
1621,397,317
1621,371,297
1622,413,331
1622,456,364
1622,413,331
1622,397,317
1624,374,299
1624,339,271
1624,371,297
1625,353,282
1625,393,314
1625,356,285
1626,413,331
1626,363,290
1627,369,295
1629,371,297
1630,382,306
1631,359,288
1631,371,297
1631,346,277
1631,371,297
1700,243,195
1633,355,284
1634,346,277
1634,371,297
1634,346,277
1634,342,274
1634,355,284
1635,378,302
1636,386,308
1638,371,297
1638,363,290
1638,363,290
1638,371,297
1639,371,297
1639,363,290
1639,387,309
1639,371,297
1640,371,297
1609,359,287
1609,359,287
1622,346,277
1622,503,402
1622,528,422
1622,413,331
1622,258,206
1622,454,363
1622,397,317
1623,155,124
1623,386,309
1623,372,297
1623,360,288
1623,378,302
1623,388,311
1623,385,308
1623,354,283
1623,394,315
1623,339,271
1623,380,304
1624,384,307
1624,343,274
1624,387,309
1624,379,303
1624,348,278
1624,364,292
1624,335,268
1624,368,294
1624,528,422
1625,365,292
1625,331,265
1625,335,268
1625,346,277
1625,372,297
1625,345,276
1625,332,265
1625,372,297
1625,358,286
1625,413,331
1626,359,287
1627,329,263
1626,369,295
1626,329,263
1626,382,306
1626,324,259
1626,371,297
1626,354,283
1626,368,294
1626,413,331
1627,371,296
1627,413,331
1627,312,250
1627,368,294
1627,296,236
1627,371,297
1627,383,307
1628,340,272
1628,341,273
1628,367,294
1625,334,287
1628,334,267
1628,360,288
1628,371,297
1628,357,286
1629,341,273
1629,380,304
1629,296,236
1629,371,297
1629,350,280
1629,329,263
1629,325,260
1630,354,284
1630,372,297
1630,371,297
1630,329,263
1630,356,285
1630,346,277
1630,330,264
1631,352,282
1631,312,250
1631,367,294
1631,329,263
1631,363,290
1631,339,271
1631,370,296
1631,377,301
1631,397,317
1632,371,297
1632,368,294
1632,354,284
1632,371,297
1632,350,280
1632,339,271
1636,367,294
1636,371,297
1636,371,297
1636,330,264
1636,362,290
1636,371,297
1636,343,274
1636,356,285
1637,346,277
1637,346,277
1637,360,288
1637,363,290
1638,364,291
1638,371,297
1638,355,284
1638,363,290
1638,371,297
1638,334,267
1639,363,290
1639,371,297
1639,371,297
1639,340,272
1640,371,297
1641,352,250
1637,371,297
1638,346,277
1618,383,306
1618,231,185
1618,355,284
1619,413,331
1619,313,250
1619,413,331
1619,268,214
1620,288,230
1619,155,124
1619,390,312
1619,469,375
1620,413,331
1620,159,127
1620,456,364
1620,481,385
1620,366,293
1623,324,259
1623,312,250
1623,304,243
1623,371,297
1623,412,330
1624,329,263
1624,346,277
1624,371,297
1625,344,275
1625,371,297
1625,334,267
1625,381,305
1625,312,250
1626,296,236
1637,371,297
1618,359,287
1624,363,290
1596,162,136
1604,359,287
1607,359,287
1609,346,277
1618,20,16
1619,340,272
1619,323,258
1619,348,278
1619,360,288
1619,419,335
1620,426,341
1619,335,268
1672,935,664
1634,375,300
1634,500,400
1634,500,400
1635,438,350
1635,350,280
1635,216,151
1602,356,285
1621,359,287
1602,380,304
1622,161,129
1602,439,351
1602,359,287
1647,325,259
1621,359,287
1603,359,287
1603,359,287
1622,214,159
1621,359,287
1609,397,317
1621,276,221
1615,359,287
1656,325,259
1615,359,287
1616,359,287
1619,359,287
1577,371,297
1564,359,287
1617,359,287
1621,310,231
1623,378,302
1605,395,316
1601,359,287
1601,359,287
1568,359,287
1559,377,
1557,359,287
1557,359,287
1633,346,277
1595,359,287
1616,376,301
1616,359,287
1615,388,311
1616,359,287
1616,159,118
1616,269,200
1616,329,263
1620,381,304
1656,325,259
1656,325,259
1652,216,153
1653,325,259
1628,303,242
1567,287,230
1588,340,272
1588,359,287
1573,367,294
1657,680,225
1621,359,287
1621,413,330
1635,359,287
1624,364,292
1621,706,565
1623,368,294
1623,384,307
1625,33,26
1626,328,262
1631,371,297
1621,397,317
1628,330,264
1624,359,287
1628,312,250
1629,315,252
1629,359,287
1632,354,283
1631,371,297
1633,329,263
1633,329,263
1636,346,277
1636,355,284
1635,363,290
1632,354,283
1632,329,263
1632,346,277
1633,329,263
1633,337,269
1633,312,250
1633,346,277
1633,371,297
1633,346,277
1633,296,236
1636,363,290
1634,363,291
1634,366,293
1634,347,278
1634,372,298
1633,343,274
1635,352,281
1635,211,150
1635,354,284
1575,304,243
1549,120,89
1626,26,21
1620,,
1616,,
1632,359,287
1632,359,287
1632,359,287
1632,359,287
1633,359,287
1633,359,287
1633,359,287
1634,359,287
1633,359,287
1635,359,287
1635,359,287
1635,359,287
1635,359,287
1635,359,287
1634,359,287
1634,359,287
1634,359,287
1634,359,287
1637,397,318
1634,359,287
1635,359,287
1635,359,287
1635,359,287
1635,359,287
1635,359,287
1637,351,281
1635,359,287
1635,359,287
1635,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1639,359,287
1636,359,287
1638,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1636,359,287
1637,359,287
1637,359,287
1638,359,287
1637,359,287
1637,359,287
1639,359,287
1637,359,287
1638,359,287
1638,359,287
1637,359,287
1637,359,287
1637,359,287
1637,359,287
1637,359,287
1636,359,287
1638,359,287
1638,359,287
1638,359,287
1639,359,287
1638,359,287
1638,359,287
1638,359,287
1619,359,287
1638,359,287
1638,359,287
1638,359,287
1638,359,287
1639,359,287
1638,359,287
1639,359,287
1638,359,287
1638,359,287
1638,359,287
1638,359,287
1639,359,287
1639,359,287
1640,359,287
1653,325,259
1654,325,259
1584,359,287
1631,359,287
1631,359,287
1631,359,287
1630,359,287
1630,359,287
1630,359,287
1627,359,287
1627,359,287
1627,359,287
1627,359,287
1627,359,287
1626,359,287
1625,359,287
1626,359,287
1625,359,287
1626,359,287
1626,359,287
1626,359,287
1627,359,287
1628,359,287
1628,359,287
1628,359,287
1628,359,287
1625,359,287
1625,359,287
1625,359,287
1625,359,287
1587,359,287
1586,325,287
1587,400,320
1587,359,287
1589,359,287
1589,371,297
1589,359,287
1589,411,329
1593,371,297
1593,346,277
1593,310,248
1592,334,287
1592,334,287
1592,346,277
1591,334,287
1589,334,287
1593,355,284
1593,363,290
1594,38,30
1600,375,300
1599,359,287
1604,359,287
1604,359,287
1604,359,287
1604,359,287
1606,359,287
1606,359,287
1606,359,287
1606,359,287
1608,359,287
1608,359,287
1608,359,287
1608,359,287
1608,359,287
1608,359,287
1610,380,304
1608,359,287
1608,359,287
1608,359,287
1608,359,287
1608,359,287
1608,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,236,176
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1609,359,287
1611,339,271
1609,359,287
1609,216,181
1609,359,287
1609,359,287
1610,236,176
1609,359,287
1611,380,304
1609,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1609,359,287
1609,430,344
1609,359,287
1610,359,287
1610,359,287
1610,359,287
1609,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1610,359,287
1611,359,287
1611,359,287
1608,359,287
1611,359,287
1615,359,287
1617,430,344
1616,413,331
1616,413,331
1621,359,287
1617,359,287
1619,359,287
1621,359,287
1621,359,287
1622,359,287
1624,359,287
1635,359,287
1637,359,287
1638,359,287
1618,359,287
1619,359,287
1624,359,287
1619,359,287
1625,359,287
1625,329,263
1620,359,287
1622,359,287
1623,359,287
1623,359,287
1625,359,287
1625,359,287
1638,359,287
1592,388,311
1622,359,287
1627,359,287
1652,325,259
1619,359,287
1619,359,287
1620,421,337
1619,359,287
1623,359,287
1625,359,287
1624,359,287
1620,359,287
1611,340,272
1619,359,287
1621,359,287
1621,359,287
1621,359,287
1622,359,287
1622,359,287
1622,359,287
1624,371,297
1623,359,287
1625,332,265
1624,359,287
1624,359,287
1627,359,287
1625,359,287
1638,288,216
1619,359,287
1620,359,287
1622,359,287
1650,325,259
1658,325,259
1618,359,287
1619,254,203
1624,236,150
1620,359,287
1620,359,287
1621,321,287
1621,359,287
1621,359,287
1621,359,287
1594,364,291
1621,359,287
1707,316,241
1709,592,452
1709,275,210
1709,300,289
1710,485,431
1710,250,200
1710,500,382
1710,390,328
1710,426,356
1710,366,250
1710,412,360
1711,291,255
1711,64,49
1711,207,200
1711,316,241
1712,465,396
1712,,
1712,316,241
1712,316,241
1713,300,229
1713,250,204
1713,316,241
1713,80,61
1713,316,241
1713,470,349
1713,266,215
1713,500,360
1713,418,363
1713,95,81
1714,260,142
1714,287,229
1714,413,315
1714,433,400
1713,295,225
1714,440,410
1714,294,224
1714,183,97
1714,450,376
1714,110,71
1714,270,230
1714,505,215
1714,375,350
1714,48,44
1715,386,272
1715,118,60
1715,350,259
1714,240,211
1715,200,175
1715,470,398
1715,220,200
1715,467,362
1715,341,322
1715,397,372
1715,242,202
1714,316,
1715,105,91
1715,110,80
1715,430,302
1716,331,300
1715,256,122
1715,560,500
1715,507,356
1716,230,125
1716,152,104
1715,417,365
1716,200,50
1715,504,437
1715,164,100
1716,407,407
1716,370,162
1716,213,70
1716,153,82
1716,190,95
1716,74,49
1715,8,6
1716,463,155
1716,276,209
1716,358,321
1716,260,206
1717,134,110
1716,408,350
1717,315,280
1717,107,86
1717,362,290
1717,294,285
1717,160,139
1717,183,179
1717,523,486
1717,310,278
1717,516,455
1717,248,203
1717,232,202
1718,530,459
1717,418,401
1718,105,95
1718,165,155
1718,140,112
1718,205,178
1718,138,116
1718,309,282
1719,440,372
1718,195,145
1719,231,198
1719,215,196
1719,88,73
1719,228,188
1719,180,162
1719,214,214
1719,282,250
1719,357,295
1719,52,42
1719,239,149
1719,392,360
1719,62,53
1720,150,106
1720,126,37
1720,356,303
1720,304,250
1720,169,157
1720,142,114
1720,149,133
1720,180,140
1720,213,208
1720,418,313
1720,266,257
1720,280,259
1721,332,266
1720,402,359
1720,180,150
1720,226,205
1720,530,460
1720,137,114
1720,97,82
1721,241,213
1721,439,396
1720,183,164
1721,120,114
1721,250,229
1721,221,195
1721,412,360
1720,367,313
1721,200,192
1721,150,136
1721,432,349
1721,170,158
1721,161,148
1721,137,104
1721,326,250
1721,300,281
1722,250,213
1722,131,104
1722,259,254
1722,239,214
1722,239,221
1722,394,353
1722,299,254
1722,147,132
1722,105,87
1722,309,254
1722,202,167
1722,329,312
1722,140,128
1722,335,317
1722,280,248
1722,205,84
1722,112,111
1721,237,190
1722,405,381
1722,109,84
1722,390,305
1722,367,313
1722,386,351
1722,525,323
1723,407,330
1722,214,196
1722,420,414
1723,365,303
1722,150,138
1723,423,290
1723,278,263
1723,300,260
1726,196,174
1726,399,340
1726,295,220
1726,450,440
1727,222,217
1727,153,130
1727,203,173
1727,300,274
1727,410,398
1727,300,277
1727,172,150
1727,208,167
1727,114,101
1727,334,296
1727,492,419
1727,416,278
1727,271,217
1727,192,154
1727,394,340
1727,60,68
1728,454,364
1728,541,461
1728,89,87
1728,368,313
1728,354,354
1728,450,367
1728,215,181
1729,434,173
1728,210,202
1729,472,445
1728,325,260
1729,453,401
1729,497,442
1729,227,255
1729,200,165
1729,216,210
1729,180,144
1729,400,341
1729,172,165
1730,470,450
1730,308,290
1730,554,444
1730,280,241
1730,345,335
1730,280,279
1730,544,436
1730,129,103
1730,428,413
1730,62,62
1730,287,272
1730,480,413
1731,150,120
1730,372,317
1730,135,124
1730,176,166
1730,195,172
1730,,
1731,367,313
1731,350,302
1731,336,286
1731,384,59
1731,201,183
1731,620,564
1731,350,280
1731,326,278
1731,283,279
1731,369,314
1731,500,454
1732,175,6
1731,400,157
1731,203,177
1732,424,361
1731,333,288
1732,426,392
1732,373,358
1732,220,192
1732,597,565
1731,271,217
1732,430,366
1732,302,257
1732,460,362
1732,295,268
1732,128,118
1733,576,491
1732,386,351
1733,410,388
1732,367,
1733,515,499
1733,239,204
1733,452,452
1734,313,300
1734,120,100
1734,400,341
1734,480,409
1734,367,313
1733,271,217
1734,531,459
1734,319,256
1735,380,326
1735,313,267
1735,267,217
1734,273,236
1735,304,248
1735,156,142
1735,294,250
1735,230,185
1736,382,325
1736,85,68
1736,371,316
1736,435,295
1736,265,229
1736,615,457
1736,360,311
1737,446,406
1736,360,328
1737,412,366
1737,516,188
1737,308,269
1737,206,185
1737,400,309
1737,271,217
1803,383,233
1803,116,105
1803,130,108
1803,297,247
1803,80,67
1803,180,150
1803,292,235
1804,160,81
1805,412,391
1805,174,158
1805,138,104
1806,190,42
1806,304,300
1806,226,216
1806,53,53
1806,40,40
1808,337,230
1809,69,69
1810,200,194
1810,131,127
1811,263,235
1798,310,266
1800,82,70
1800,268,227
1652,207,125
1741,240,197
1659,400,220
1659,398,318
1661,292,260
1661,346,259
1662,351,280
1662,455,391
1663,382,331
1649,400,319
1649,376,300
1658,94,75
1658,201,160
1659,422,178
1659,123,98
1660,1065,850
1661,175,140
1661,125,100
1662,194,155
1662,163,130
1662,150,120
1663,150,120
1663,50,40
1667,1124,900
1669,867,650
1674,59,47
1677,181,145
1686,500,392
1587,359,287
1818,215,100
1720,789,709
1576,97,83
1563,100,93
1563,100,93
1563,100,93
1565,100,92
1565,100,92
1565,100,93
1565,100,93
1714,195,80
1568,78,54
1568,78,54
1568,78,54
1568,78,54
1568,78,54
