Year of arrival at port of disembarkation,Total embarked,Total disembarked
1794,416,415
1794,,
1799,223,204
1800,359,328
1799,154,136
1800,310,
1795,229,227
1797,227,208
1798,244,223
1786,51,40
1796,210,195
1798,181,176
1799,225,209
1799,158,147
1799,158,147
1800,119,111
1802,130,113
1805,126,110
1806,183,160
1807,183,160
1790,100,99
1798,294,273
1798,288,267
1800,284,264
1801,206,189
1802,206,189
1803,219,201
1806,219,201
1801,310,279
1802,373,335
1804,366,329
1806,340,306
1807,274,246
1799,,
1793,251,229
1794,265,243
1796,300,299
1798,300,279
1800,343,318
1800,219,203
1802,247,226
1803,234,210
1804,229,210
1805,249,228
1806,273,250
1797,,
1783,,
1798,217,213
1799,216,198
1801,326,293
1802,,
1782,620,568
1783,713,653
1785,382,350
1787,469,430
1789,377,368
1791,350,313
1793,368,366
1794,,
1783,,
1784,210,195
1794,354,344
1795,374,371
1796,359,328
1798,374,341
1799,359,328
1795,300,300
1791,245,224
1798,209,194
1799,207,192
1800,193,179
1801,183,160
1803,177,154
1788,247,228
1789,217,200
1790,166,153
1791,400,314
1798,191,324
1799,349,320
1800,331,303
1796,523,515
1798,584,535
1799,525,481
1800,369,338
1787,420,390
1789,383,351
1789,331,303
1791,341,308
1792,335,331
1793,338,303
1794,,
1785,484,436
1797,272,252
1798,295,274
1798,210,195
1800,289,268
1802,156,143
1786,65,60
1787,43,40
1793,118,110
1783,543,497
1806,250,225
1798,346,338
1799,377,350
1804,289,260
1805,304,273
1806,306,275
1807,284,255
1806,267,240
1807,310,279
1799,342,313
1797,,
1801,310,279
1802,229,206
1803,207,186
1805,244,219
1781,412,377
1781,,
1792,359,328
1793,395,239
1799,298,273
1802,218,196
1799,75,73
1792,218,169
1792,,
1787,156,143
1793,302,277
1784,374,310
1803,377,339
1804,334,300
1801,310,279
1802,293,263
1804,277,249
1806,267,240
1807,310,279
1799,359,328
1801,412,370
1791,310,318
1794,359,328
1796,359,328
1797,359,328
1802,222,200
1803,208,187
1806,310,279
1807,310,279
1787,20,
1806,217,195
1784,162,150
1785,214,199
1799,,
1801,258,236
1802,266,244
1803,248,227
1805,,
1803,273,250
1787,300,230
1797,181,141
1798,175,136
1784,310,266
1788,400,370
1791,486,445
1792,488,276
1780,,
1792,101,101
1798,39,36
1785,351,321
1786,524,480
1788,491,450
1789,720,360
1790,536,491
1791,567,519
1792,568,520
1793,533,488
1801,247,222
1802,189,170
1804,237,213
1805,259,233
1806,241,217
1808,247,222
1804,310,279
1806,350,315
1807,556,500
1784,360,351
1786,381,390
1805,119,100
1806,119,100
1807,147,125
1795,418,416
1797,418,411
1800,398,365
1802,305,274
1803,310,279
1804,310,279
1805,192,166
1783,359,328
1784,371,340
1786,269,246
1788,234,214
1789,203,202
1797,363,352
1799,359,328
1800,,
1805,310,279
1808,267,240
1803,158,145
1804,156,143
1797,257,252
1780,,
1787,,
1785,78,72
1789,314,288
1791,222,211
1792,115,105
1787,119,93
1802,303,272
1803,300,270
1805,127,114
1806,310,279
1783,210,195
1785,223,204
1786,287,263
1788,359,328
1789,218,200
1784,359,328
1787,360,350
1800,369,337
1784,,
1800,356,326
1800,,
1799,367,336
1800,354,324
1784,113,105
1797,187,146
1798,119,93
1799,216,168
