Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Total died
1713,157,130,59.35,23.58,17.07,27
1713,150,124,42.0,48.0,10.0,26
1714,280,261,56.79,32.5,10.71,19
1714,195,80,43.08,18.97,37.95,115
1714,360,240,33.33,66.67,16.67,120
1714,572,557,72.4,24.37,3.23,15
1714,192,154,44.8,29.87,25.32,38
1714,287,273,63.76,20.56,15.68,14
1714,204,200,45.5,29.0,25.5,4
1714,253,188,63.98,31.75,4.26,65
1714,181,164,45.73,30.49,23.78,17
1714,200,184,68.5,25.5,6.0,16
1714,37,33,70.27,29.73,0.0,4
1714,43,43,68.29,31.71,4.65,0
1714,171,153,43.28,36.57,24.11,18
1714,277,226,53.54,13.27,33.19,51
1714,265,216,35.51,26.17,38.32,49
1714,270,230,47.73,34.09,18.18,40
1714,287,229,34.25,33.15,32.6,58
1714,620,548,56.13,33.55,10.32,72
1714,375,350,66.14,14.09,19.77,25
1714,320,294,58.16,35.71,6.12,26
1715,560,500,46.0,34.0,20.0,60
1715,102,79,65.69,21.57,12.74,23
1715,397,372,56.68,29.47,13.85,25
1715,215,208,59.71,20.39,19.9,7
1715,417,365,34.8,21.64,43.56,52
1715,110,80,72.5,27.5,0.0,30
1715,242,202,37.93,31.53,30.54,40
1715,546,459,51.87,30.48,17.65,87
1715,260,220,57.72,42.28,0.0,40
1715,120,118,9.09,74.75,16.16,2
1715,375,300,38.67,33.33,28.0,75
1715,145,118,75.46,6.36,20.35,27
1715,521,495,67.27,12.93,19.8,26
1715,216,177,70.91,27.27,1.82,39
1715,470,398,41.62,23.35,35.02,72
1715,467,362,71.82,18.78,9.39,105
1715,164,100,36.67,23.33,40.0,64
1715,504,437,63.62,14.87,21.51,67
1716,437,377,49.66,39.46,10.88,60
1716,200,50,48.0,32.0,20.0,150
1716,487,403,62.09,37.91,9.21,84
1716,273,219,36.99,27.4,35.62,54
1716,260,250,61.95,38.05,18.0,10
1716,411,402,37.97,62.02,20.74,9
1716,270,257,57.2,42.8,0.0,13
1716,74,49,37.7,54.1,8.2,25
1716,190,95,26.32,40.0,33.68,95
1716,153,82,37.8,43.9,18.29,71
1716,650,543,78.22,11.46,10.32,107
1716,450,320,46.18,22.57,31.25,130
1716,100,80,48.75,30.0,21.25,20
1716,532,513,53.67,19.5,26.83,19
1716,257,242,69.26,24.9,5.84,15
1716,153,136,81.7,13.07,5.23,17
1716,302,260,57.27,42.73,0.0,42
1716,200,174,68.26,11.98,19.76,26
1716,462,420,62.38,8.09,29.52,42
1716,270,242,64.65,35.35,0.0,28
1716,145,141,65.75,26.71,7.53,4
1716,71,64,66.2,22.54,11.27,7
1716,213,70,25.71,31.43,42.86,143
1716,370,162,43.94,28.79,27.27,208
1716,407,407,55.77,17.94,26.29,0
1716,408,350,45.43,26.86,27.71,58
1716,260,206,68.84,19.1,12.06,54
1716,358,321,50.16,31.31,18.53,37
1716,194,194,66.5,13.4,20.1,0
1716,152,104,43.27,25.96,30.77,48
1716,331,300,66.67,18.33,15.0,31
1717,91,73,10.96,24.66,64.38,18
1717,424,340,54.71,22.06,23.24,84
1717,418,401,48.63,19.95,31.42,17
1717,232,202,52.48,26.24,21.29,30
1717,134,110,27.93,45.04,27.03,24
1717,315,280,67.86,12.86,19.29,35
1717,107,86,21.5,51.4,27.1,21
1717,362,290,47.24,31.03,21.72,72
1717,294,285,51.58,23.51,24.91,9
1717,160,139,37.31,21.64,41.04,21
1717,183,179,53.0,7.1,39.89,4
1717,523,486,51.95,33.26,14.78,37
1717,310,278,51.08,36.69,12.23,32
1717,516,455,45.72,39.3,14.97,61
1717,248,203,49.75,25.62,24.63,45
1717,200,200,55.56,44.44,5.26,0
1717,436,306,42.31,26.54,31.15,130
1717,174,156,47.33,22.0,30.67,18
1718,683,449,51.53,24.79,23.68,234
1718,92,84,70.65,23.91,5.44,8
1718,59,54,71.19,20.34,8.48,5
1718,83,76,66.26,18.07,15.66,7
1718,219,189,39.15,46.56,14.29,30
1718,535,426,45.54,23.47,30.99,109
1718,464,298,48.84,41.53,9.64,166
1718,291,266,37.97,36.84,25.19,25
1718,141,117,46.73,25.23,28.7,24
1718,260,249,68.68,25.3,6.02,11
1718,191,171,79.58,12.57,7.85,20
1718,195,145,45.11,38.35,16.54,50
1718,530,459,47.06,25.05,27.89,71
1718,309,282,40.78,19.86,39.36,27
1718,138,116,35.65,45.22,19.13,22
1718,205,178,50.0,24.72,25.28,27
1718,140,112,10.71,47.32,41.96,28
1718,105,95,29.47,40.0,30.53,10
1718,133,119,60.81,10.81,28.38,14
1718,367,294,45.24,31.97,22.79,73
1718,250,200,40.0,24.5,35.5,50
1718,216,164,63.42,23.17,17.44,52
1719,180,162,22.84,48.76,28.4,18
1719,214,214,43.46,19.16,37.38,0
1719,282,250,46.0,20.8,33.2,32
1719,357,295,35.09,17.54,47.37,62
1719,52,42,23.81,59.52,16.67,10
1719,239,149,30.2,33.56,36.24,90
1719,43,40,86.05,4.65,9.3,3
1719,161,143,44.06,47.55,8.39,18
1719,211,169,37.5,25.83,36.67,42
1719,122,98,64.29,17.35,18.37,24
1719,105,93,40.86,53.76,5.38,12
1719,120,118,49.15,45.76,5.08,2
1719,112,99,48.32,42.7,8.99,13
1719,180,154,81.17,13.64,5.2,26
1719,112,99,74.11,18.75,7.14,13
1719,218,193,90.37,9.17,0.46,25
1719,219,196,80.36,11.87,7.76,23
1719,254,241,63.07,24.9,12.03,13
1719,200,162,65.62,30.63,3.75,38
1719,492,412,78.12,21.88,0.0,80
1719,440,372,44.36,16.13,39.52,68
1719,231,198,56.06,32.32,11.62,33
1719,215,196,50.0,34.18,15.82,19
1719,88,73,13.33,31.11,55.56,15
1719,228,188,41.49,28.72,29.79,40
1719,86,79,84.88,10.46,4.65,7
1719,143,132,72.73,20.98,6.29,11
1719,79,72,81.01,17.72,1.27,7
1719,388,357,67.1,30.26,2.63,31
1719,138,127,75.36,16.67,7.97,11
1719,94,86,75.53,14.89,9.57,8
1719,170,136,34.56,35.29,30.15,34
1719,163,139,46.76,46.04,7.19,24
1719,392,360,38.04,24.46,37.5,32
1719,62,53,45.28,26.42,28.3,9
1720,97,82,14.63,57.32,28.05,15
1720,132,109,64.04,17.98,17.98,23
1720,137,114,30.7,19.3,50.0,23
1720,530,460,45.74,17.67,36.59,70
1720,226,205,56.39,24.67,18.94,21
1720,180,150,46.0,31.33,22.67,30
1720,402,359,43.43,22.86,33.71,43
1720,220,214,82.24,13.08,4.67,6
1720,280,259,36.15,31.92,31.92,21
1720,266,257,45.35,29.0,25.65,9
1720,418,313,52.08,25.56,22.36,105
1720,213,208,35.15,30.69,34.16,5
1720,80,74,86.25,8.75,5.0,6
1720,156,144,78.85,12.18,8.97,12
1720,260,251,71.15,18.85,10.0,9
1720,134,102,40.58,36.23,23.19,32
1720,149,133,42.31,22.31,35.38,16
1720,142,114,47.37,44.74,7.9,28
1720,169,157,59.24,33.12,7.64,12
1720,304,250,46.0,30.8,23.2,54
1720,356,303,29.7,33.0,37.29,53
1720,180,140,35.44,37.97,26.58,40
1720,270,218,45.93,41.48,12.59,52
1720,183,164,40.24,39.02,20.73,19
1720,126,37,51.43,28.57,20.0,89
1720,150,106,59.61,11.54,28.85,44
1720,383,307,65.15,26.06,8.8,76
1720,307,246,38.62,31.3,30.08,61
1720,190,154,23.38,37.01,39.61,36
1720,215,176,12.93,61.21,25.86,39
1721,439,396,45.2,19.95,34.85,43
1721,241,213,40.38,34.74,24.88,28
1721,214,182,35.71,29.12,35.16,32
1721,158,118,25.42,5.93,68.64,40
1721,257,211,38.2,53.93,7.86,46
1721,100,99,53.54,33.33,13.13,1
1721,323,294,39.46,22.45,38.1,29
1721,285,228,32.46,43.86,23.68,57
1721,231,184,71.0,19.91,9.09,47
1721,69,59,16.95,67.8,15.25,10
1721,250,233,55.36,20.17,24.46,17
1721,209,193,93.26,5.18,1.55,16
1721,240,120,15.59,15.21,69.2,120
1721,110,104,90.38,9.62,0.0,6
1721,350,342,80.0,14.0,6.0,8
1721,326,250,51.2,16.0,32.8,76
1721,311,296,69.6,16.55,13.85,15
1721,56,50,46.0,42.0,12.0,6
1721,300,289,50.86,47.06,2.08,11
1721,221,195,42.93,28.28,28.79,26
1721,412,360,42.5,30.56,26.94,52
1721,200,192,54.17,22.4,23.44,8
1721,150,136,48.06,26.36,25.58,14
1721,161,148,43.48,25.0,31.52,13
1721,120,114,50.88,18.42,30.7,6
1721,250,229,46.72,26.2,27.07,21
1721,332,266,39.47,24.81,35.71,66
1721,85,78,85.88,2.35,11.76,7
1721,319,274,68.45,18.45,13.11,45
1721,391,349,51.86,34.67,13.47,42
1721,417,200,65.99,15.74,18.27,217
1721,340,303,67.66,21.12,11.22,37
1722,433,400,63.5,26.0,10.5,33
1722,113,100,34.65,35.64,31.73,13
1722,343,289,24.22,22.49,53.29,54
1722,241,227,65.56,22.41,12.03,14
1722,212,198,52.02,15.66,32.32,14
1722,562,471,57.27,23.86,18.87,91
1722,400,350,71.0,17.0,12.0,50
1722,350,344,57.14,42.86,0.0,6
1722,120,107,46.73,17.76,35.51,13
1722,265,205,53.43,39.22,7.35,60
1722,206,201,64.56,27.18,8.25,5
1722,290,268,63.79,36.21,0.0,22
1722,89,79,7.9,36.84,55.26,10
1722,335,317,47.32,19.24,33.44,18
1722,205,84,47.62,23.81,28.57,121
1722,131,104,43.27,34.62,22.12,27
1722,388,357,99.5,0.5,0.0,31
1722,388,357,80.0,8.5,11.5,31
1722,388,357,66.67,21.21,12.12,31
